,sample,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,press_0,press_1,press_2,press_3,press_4,press_5,cop_x_r,cop_y_r,cop_x_l,cop_y_l,cop_x_all,cop_y_all
2905,29060,343,919,956,344,966,806,28.8898,3.0272,1.87474,28.7634,1.57842,7.20192,0.325226,-5.35916,0.245402,-4.24194,-0.02126,-0.517414
2906,29070,342,919,957,344,973,805,29.0169,3.0272,1.84483,28.7634,1.37461,7.2441,0.32774,-5.37353,0.265543,-4.30254,0.0175521,-0.549562
2907,29080,342,919,956,345,970,805,29.0169,3.0272,1.87474,28.6378,1.4616,7.2441,0.325126,-5.36606,0.260537,-4.25868,0.0221188,-0.526549
2908,29090,342,919,956,344,967,805,29.0169,3.0272,1.87474,28.7634,1.54912,7.2441,0.325126,-5.36606,0.251387,-4.24106,-0.00477873,-0.519007
2909,29100,342,918,956,344,967,804,29.0169,3.05964,1.87474,28.7634,1.54912,7.28638,0.327123,-5.35426,0.255065,-4.23055,-0.00337221,-0.507113
2910,29110,342,919,955,343,968,805,29.0169,3.0272,1.90471,28.8898,1.51989,7.2441,0.322507,-5.35858,0.251306,-4.25784,-0.0131979,-0.523489
2911,29120,342,920,956,343,967,805,29.0169,2.99484,1.87474,28.8898,1.54912,7.2441,0.323129,-5.37786,0.249231,-4.25223,-0.0239471,-0.529049
2912,29130,342,919,956,343,975,804,29.0169,3.0272,1.87474,28.8898,1.31692,7.28638,0.325126,-5.36606,0.271372,-4.31807,0.00990979,-0.551042
2913,29140,342,919,955,343,970,805,29.0169,3.0272,1.90471,28.8898,1.4616,7.2441,0.322507,-5.35858,0.255917,-4.27691,-0.00506143,-0.531982
2914,29150,342,919,956,343,969,806,29.0169,3.0272,1.87474,28.8898,1.49071,7.20192,0.325126,-5.36606,0.250186,-4.2818,-0.00814795,-0.539875
2915,29160,342,919,956,343,976,805,29.0169,3.0272,1.87474,28.8898,1.28817,7.2441,0.325126,-5.36606,0.269986,-4.33814,0.0170917,-0.562397
2916,29170,342,919,956,343,970,805,29.0169,3.0272,1.87474,28.8898,1.4616,7.2441,0.325126,-5.36606,0.256155,-4.28089,-0.0072011,-0.537024
2917,29180,342,919,955,342,971,805,29.0169,3.0272,1.90471,29.0169,1.43254,7.2441,0.322507,-5.35858,0.256028,-4.2975,-0.015722,-0.541477
2918,29190,342,919,956,343,970,805,29.0169,3.0272,1.87474,28.8898,1.4616,7.2441,0.325126,-5.36606,0.256155,-4.28089,-0.0072011,-0.537024
2919,29200,342,919,956,343,971,805,29.0169,3.0272,1.87474,28.8898,1.43254,7.2441,0.325126,-5.36606,0.258461,-4.29044,-0.00313967,-0.541266
2920,29210,341,918,956,343,972,804,29.1447,3.05964,1.87474,28.8898,1.40355,7.28638,0.327015,-5.36119,0.264448,-4.28947,0.0178329,-0.537978
2921,29220,343,919,954,345,966,805,28.8898,3.0272,1.93475,28.6378,1.57842,7.2441,0.319962,-5.34412,0.250747,-4.21237,-0.00549006,-0.49494
2922,29230,343,919,954,343,966,805,28.8898,3.0272,1.93475,28.8898,1.57842,7.2441,0.319962,-5.34412,0.246465,-4.23482,-0.0346924,-0.50552
2923,29240,342,919,956,343,968,805,29.0169,3.0272,1.87474,28.8898,1.51989,7.2441,0.325126,-5.36606,0.25154,-4.26179,-0.0153392,-0.528525
2924,29250,342,920,955,343,964,805,29.0169,2.99484,1.90471,28.8898,1.63719,7.2441,0.320508,-5.37037,0.242079,-4.21965,-0.0340602,-0.511207
2925,29260,343,919,957,343,967,805,28.8898,3.0272,1.84483,28.8898,1.54912,7.2441,0.32785,-5.36665,0.249462,-4.25617,-0.0370688,-0.524897
2926,29270,342,919,956,343,970,805,29.0169,3.0272,1.87474,28.8898,1.4616,7.2441,0.325126,-5.36606,0.256155,-4.28089,-0.0072011,-0.537024
2927,29280,342,919,956,343,966,805,29.0169,3.0272,1.87474,28.8898,1.57842,7.2441,0.325126,-5.36606,0.246922,-4.24268,-0.0234977,-0.520003
2928,29290,342,919,956,343,973,804,29.0169,3.0272,1.87474,28.8898,1.37461,7.28638,0.325126,-5.36606,0.266757,-4.29901,0.00182961,-0.542606
2929,29300,342,920,956,343,970,804,29.0169,2.99484,1.87474,28.8898,1.4616,7.28638,0.323129,-5.37786,0.259828,-4.2704,-0.0148584,-0.5347
2930,29310,342,919,957,342,971,805,29.0169,3.0272,1.84483,29.0169,1.43254,7.2441,0.32774,-5.37353,0.256503,-4.30547,-0.0200017,-0.551551
2931,29320,341,920,956,343,975,804,29.1447,2.99484,1.87474,28.8898,1.31692,7.28638,0.323037,-5.38471,0.271372,-4.31807,0.0209225,-0.560218
2932,29330,341,919,956,343,975,805,29.1447,3.0272,1.87474,28.8898,1.31692,7.2441,0.325026,-5.37295,0.267682,-4.32861,0.0285866,-0.562547
2933,29340,341,919,955,343,970,806,29.1447,3.0272,1.90471,28.8898,1.4616,7.20192,0.322418,-5.3655,0.252256,-4.28738,0.0135909,-0.54347
2934,29350,341,920,957,342,972,803,29.1447,2.99484,1.84483,29.0169,1.40355,7.32877,0.325643,-5.39215,0.266148,-4.29401,-0.0111821,-0.550697
2935,29360,340,920,955,342,971,805,29.2733,2.99484,1.90471,29.0169,1.43254,7.2441,0.320345,-5.38411,0.256028,-4.2975,0.0108635,-0.555019
2936,29370,340,920,956,342,972,805,29.2733,2.99484,1.87474,29.0169,1.40355,7.2441,0.322945,-5.39154,0.258561,-4.311,0.0127814,-0.564272
2937,29380,340,920,956,342,971,805,29.2733,2.99484,1.87474,29.0169,1.43254,7.2441,0.322945,-5.39154,0.256266,-4.30149,0.00874006,-0.560049
2938,29390,340,921,956,342,972,805,29.2733,2.96254,1.87474,29.0169,1.40355,7.2441,0.320965,-5.40325,0.258561,-4.311,0.0082875,-0.569048
2939,29400,340,920,955,342,968,805,29.2733,2.99484,1.90471,29.0169,1.51989,7.2441,0.320345,-5.38411,0.249147,-4.26897,-0.00128843,-0.542328
2940,29410,339,919,956,342,968,806,29.4026,3.0272,1.87474,29.0169,1.51989,7.20192,0.324827,-5.38669,0.245734,-4.28333,0.0198057,-0.554041
2941,29420,340,920,956,342,967,806,29.2733,2.99484,1.87474,29.0169,1.54912,7.20192,0.322945,-5.39154,0.243439,-4.27379,-0.00437186,-0.550165
2942,29430,339,920,956,341,973,805,29.4026,2.99484,1.87474,29.1447,1.37461,7.2441,0.322854,-5.39836,0.258642,-4.33149,0.0176499,-0.578058
2943,29440,338,921,956,342,972,806,29.5327,2.96254,1.87474,29.0169,1.40355,7.20192,0.320797,-5.4168,0.254904,-4.32145,0.04272,-0.584879
2944,29450,338,921,956,342,970,805,29.5327,2.96254,1.87474,29.0169,1.4616,7.2441,0.320797,-5.4168,0.25397,-4.29197,0.031508,-0.569367
2945,29460,338,921,956,341,969,805,29.5327,2.96254,1.87474,29.1447,1.49071,7.2441,0.320797,-5.4168,0.249505,-4.29352,0.0127251,-0.570333
2946,29470,337,921,956,341,968,806,29.6636,2.96254,1.87474,29.1447,1.51989,7.20192,0.320714,-5.42355,0.24359,-4.29439,0.0274957,-0.577541
2947,29480,338,920,955,341,968,805,29.5327,2.99484,1.90471,29.1447,1.51989,7.2441,0.320182,-5.3978,0.246992,-4.28008,0.0152537,-0.556368
2948,29490,338,920,955,341,967,806,29.5327,2.99484,1.90471,29.1447,1.54912,7.20192,0.320182,-5.3978,0.241085,-4.28094,0.014305,-0.559172
2949,29500,339,922,956,341,967,806,29.4026,2.93031,1.87474,29.1447,1.54912,7.20192,0.318908,-5.42171,0.241307,-4.28488,-0.0124174,-0.569274
2950,29510,339,920,955,341,963,805,29.4026,2.99484,1.90471,29.1447,1.66667,7.2441,0.320263,-5.39096,0.235564,-4.23261,-0.0206784,-0.530763
2951,29520,339,919,956,340,971,804,29.4026,3.0272,1.87474,29.2733,1.43254,7.28638,0.324827,-5.38669,0.255522,-4.31313,-0.0038108,-0.563037
2952,29530,339,920,955,340,973,804,29.4026,2.99484,1.90471,29.2733,1.37461,7.28638,0.320263,-5.39096,0.259834,-4.32804,0.00184094,-0.571178
2953,29540,340,921,955,340,970,805,29.2733,2.96254,1.90471,29.2733,1.4616,7.2441,0.318361,-5.39582,0.249385,-4.31008,-0.0271905,-0.566026
